root_seed,time,previous_q,regime,control,preview_mode,unique_optimal_executions,optimal_executed_ids,any_optimum_legal_q1,all_optima_legal_q1,fraction_optimal_executions_legal_q1,on_executed,no_q_bias_executed,on_one_step_B,no_q_bias_choice_one_step_B,strict_ranking_reversal,proxy_exploitation_witness
1,0,0,NOMINAL,channel0,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,0,0,NOMINAL,median,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,0,NOMINAL,channel2,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,0,PHYSICAL_SHIFT,channel0,nominal,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,0,0,PHYSICAL_SHIFT,median,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,0,PHYSICAL_SHIFT,channel2,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,0,COMMON_BIAS,channel0,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,0,0,COMMON_BIAS,median,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,0,COMMON_BIAS,channel2,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,1,NOMINAL,channel0,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,0,1,NOMINAL,median,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,1,NOMINAL,channel2,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,1,PHYSICAL_SHIFT,channel0,nominal,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,0,1,PHYSICAL_SHIFT,median,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,1,PHYSICAL_SHIFT,channel2,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,1,COMMON_BIAS,channel0,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,0,1,COMMON_BIAS,median,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,0,1,COMMON_BIAS,channel2,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,0,NOMINAL,channel0,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,6,0,NOMINAL,median,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,0,NOMINAL,channel2,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,0,PHYSICAL_SHIFT,channel0,nominal,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,6,0,PHYSICAL_SHIFT,median,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,0,PHYSICAL_SHIFT,channel2,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,0,COMMON_BIAS,channel0,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,6,0,COMMON_BIAS,median,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,6,0,COMMON_BIAS,channel2,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,6,1,NOMINAL,channel0,faithful,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,6,1,NOMINAL,median,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,1,NOMINAL,channel2,faithful,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,1,PHYSICAL_SHIFT,channel0,nominal,1,[20],True,True,1.0,20,11,0.125,0.125,True,False
1,6,1,PHYSICAL_SHIFT,median,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
1,6,1,PHYSICAL_SHIFT,channel2,nominal,1,[11],False,False,0.0,11,11,0.125,0.125,False,False
